Total Number of Records          35156.
             DATA SET: /home/las/datasets/ocean_analysis/NRIG/ice_5day.nc
             GODAS-MOM OUTPUT
             X: 0.5 to 35156.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 01-JAN-1901 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: SST is sea surface temperature (deg-C)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,SST
"29-DEC-2003",37617.5,67.7422,-29.7511,24.2453  
"29-DEC-2003",37617.5,68.2233,-29.7511,24.2348  
"29-DEC-2003",37617.5,68.7043,-29.7511,24.1597  
"29-DEC-2003",37617.5,69.1853,-29.7511,24.0438  
"29-DEC-2003",37617.5,69.6662,-29.7511,23.9124  
"29-DEC-2003",37617.5,70.1471,-29.7511,23.8639  
"29-DEC-2003",37617.5,70.628,-29.7511,23.8828  
"29-DEC-2003",37617.5,71.1088,-29.7511,23.9237  
"29-DEC-2003",37617.5,71.5896,-29.7511,23.9917  
"29-DEC-2003",37617.5,72.0704,-29.7511,24.1107  
"29-DEC-2003",37617.5,72.5511,-29.7511,24.2197  
"29-DEC-2003",37617.5,73.0318,-29.7511,24.2605  
"29-DEC-2003",37617.5,73.5125,-29.7511,24.2573  
"29-DEC-2003",37617.5,73.9932,-29.7511,24.0846  
"29-DEC-2003",37617.5,74.4738,-29.7511,23.8236  
"29-DEC-2003",37617.5,74.9544,-29.7511,23.6526  
"29-DEC-2003",37617.5,75.435,-29.7511,23.6405  
"29-DEC-2003",37617.5,75.9156,-29.7511,23.6539  
"29-DEC-2003",37617.5,76.3961,-29.7511,23.6549  
"29-DEC-2003",37617.5,76.8767,-29.7511,23.6455  
"29-DEC-2003",37617.5,77.3572,-29.7511,23.621  
"29-DEC-2003",37617.5,77.8377,-29.7511,23.5728  
"29-DEC-2003",37617.5,78.3182,-29.7511,23.5592  
"29-DEC-2003",37617.5,78.7987,-29.7511,23.5775  
"29-DEC-2003",37617.5,79.2793,-29.7511,23.7229  
"29-DEC-2003",37617.5,79.7598,-29.7511,23.8841  
"29-DEC-2003",37617.5,80.2403,-29.7511,23.9332  
"29-DEC-2003",37617.5,80.7208,-29.7511,23.9294  
"29-DEC-2003",37617.5,81.2013,-29.7511,23.9292  
"29-DEC-2003",37617.5,81.6818,-29.7511,23.9281  
"29-DEC-2003",37617.5,82.1623,-29.7511,23.9186  
"29-DEC-2003",37617.5,82.6428,-29.7511,23.8956  
"29-DEC-2003",37617.5,83.1233,-29.7511,23.8548  
"29-DEC-2003",37617.5,83.6039,-29.7511,23.8013  
"29-DEC-2003",37617.5,84.0844,-29.7511,23.731  
"29-DEC-2003",37617.5,84.565,-29.7511,23.622  
"29-DEC-2003",37617.5,85.0456,-29.7511,23.4691  
"29-DEC-2003",37617.5,85.5262,-29.7511,23.272  
"29-DEC-2003",37617.5,86.0068,-29.7511,23.0661  
"29-DEC-2003",37617.5,86.4875,-29.7511,22.8825  
"29-DEC-2003",37617.5,86.9682,-29.7511,22.7685  
"29-DEC-2003",37617.5,87.4489,-29.7511,22.7248  
"29-DEC-2003",37617.5,87.9296,-29.7511,22.6567  
"29-DEC-2003",37617.5,88.4104,-29.7511,22.5866  
"29-DEC-2003",37617.5,88.8912,-29.7511,22.5163  
"29-DEC-2003",37617.5,89.372,-29.7511,22.428  
"29-DEC-2003",37617.5,89.8529,-29.7511,22.3052  
"29-DEC-2003",37617.5,90.3338,-29.7511,22.1229  
"29-DEC-2003",37617.5,90.8147,-29.7511,21.956  
"29-DEC-2003",37617.5,91.2957,-29.7511,21.9342  
"29-DEC-2003",37617.5,91.7767,-29.7511,22.0127  
"29-DEC-2003",37617.5,92.2578,-29.7511,22.2128  
"29-DEC-2003",37617.5,92.7389,-29.7511,22.4729  
"29-DEC-2003",37617.5,93.2201,-29.7511,22.5914  
"29-DEC-2003",37617.5,93.7013,-29.7511,22.6324  
"29-DEC-2003",37617.5,94.1826,-29.7511,22.6034  
"29-DEC-2003",37617.5,94.6639,-29.7511,22.5676  
"29-DEC-2003",37617.5,95.1453,-29.7511,22.4975  
"29-DEC-2003",37617.5,95.6267,-29.7511,22.3662  
"29-DEC-2003",37617.5,96.1082,-29.7511,22.2454  
"29-DEC-2003",37617.5,96.5898,-29.7511,22.1912  
"29-DEC-2003",37617.5,97.0714,-29.7511,22.1898  
"29-DEC-2003",37617.5,97.5531,-29.7511,22.2098  
"29-DEC-2003",37617.5,98.0349,-29.7511,22.2067  
"29-DEC-2003",37617.5,98.5167,-29.7511,22.1788  
"29-DEC-2003",37617.5,98.9986,-29.7511,22.0956  
"29-DEC-2003",37617.5,99.4806,-29.7511,21.979  
"29-DEC-2003",37617.5,99.9626,-29.7511,21.8466  
"29-DEC-2003",37617.5,100.445,-29.7511,21.7261  
"29-DEC-2003",37617.5,100.927,-29.7511,21.5877  
"29-DEC-2003",37617.5,101.409,-29.7511,21.3646  
"29-DEC-2003",37617.5,101.892,-29.7511,21.1236  
"29-DEC-2003",37617.5,102.374,-29.7511,20.9914  
"29-DEC-2003",37617.5,102.857,-29.7511,20.9241  
"29-DEC-2003",37617.5,103.339,-29.7511,20.8076  
"29-DEC-2003",37617.5,103.822,-29.7511,20.6208  
"29-DEC-2003",37617.5,104.305,-29.7511,20.4708  
"29-DEC-2003",37617.5,104.788,-29.7511,20.4878  
"29-DEC-2003",37617.5,105.271,-29.7511,20.5977  
"29-DEC-2003",37617.5,105.754,-29.7511,20.666  
"29-DEC-2003",37617.5,106.238,-29.7511,20.6457  
"29-DEC-2003",37617.5,106.721,-29.7511,20.5394  
"29-DEC-2003",37617.5,107.204,-29.7511,20.357  
"29-DEC-2003",37617.5,107.688,-29.7511,20.1901  
"29-DEC-2003",37617.5,108.172,-29.7511,20.0456  
"29-DEC-2003",37617.5,108.656,-29.7511,19.9296  
"29-DEC-2003",37617.5,109.14,-29.7511,19.9106  
"29-DEC-2003",37617.5,109.624,-29.7511,20.0089  
"29-DEC-2003",37617.5,110.108,-29.7511,20.3237  
"29-DEC-2003",37617.5,110.592,-29.7511,20.7625  
"29-DEC-2003",37617.5,111.077,-29.7511,21.2547  
"29-DEC-2003",37617.5,111.561,-29.7511,21.4442  
"29-DEC-2003",37617.5,112.046,-29.7511,21.4542  
"29-DEC-2003",37617.5,112.531,-29.7511,21.5788  
"29-DEC-2003",37617.5,113.016,-29.7511,21.6826  
"29-DEC-2003",37617.5,113.501,-29.7511,21.438  
"29-DEC-2003",37617.5,113.987,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,114.472,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,114.958,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,115.444,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,115.93,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,116.416,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,116.902,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,117.389,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,117.875,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,118.362,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,118.849,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,119.336,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,119.824,-29.7511,-1.E+34  
"29-DEC-2003",37617.5,29.8893,-29.2529,-1.E+34  
"29-DEC-2003",37617.5,30.3817,-29.2529,-1.E+34  
"29-DEC-2003",37617.5,30.8738,-29.2529,-1.E+34  
"29-DEC-2003",37617.5,31.3656,-29.2529,-1.E+34  
"29-DEC-2003",37617.5,31.8572,-29.2529,-1.E+34  
"29-DEC-2003",37617.5,32.3484,-29.2529,-1.E+34  
"29-DEC-2003",37617.5,32.8395,-29.2529,-1.E+34  
"29-DEC-2003",37617.5,33.3302,-29.2529,25.1263  
"29-DEC-2003",37617.5,33.8207,-29.2529,25.5792  
"29-DEC-2003",37617.5,34.311,-29.2529,26.0208  
"29-DEC-2003",37617.5,34.801,-29.2529,26.3218  
"29-DEC-2003",37617.5,35.2908,-29.2529,25.7704  
"29-DEC-2003",37617.5,35.7803,-29.2529,25.1305  
"29-DEC-2003",37617.5,36.2696,-29.2529,24.6585  
"29-DEC-2003",37617.5,36.7587,-29.2529,24.3445  
"29-DEC-2003",37617.5,37.2476,-29.2529,24.3172  
"29-DEC-2003",37617.5,37.7362,-29.2529,24.4156  
"29-DEC-2003",37617.5,38.2246,-29.2529,24.5064  
"29-DEC-2003",37617.5,38.7128,-29.2529,24.5579  
"29-DEC-2003",37617.5,39.2008,-29.2529,24.6258  
"29-DEC-2003",37617.5,39.6886,-29.2529,24.6168  
"29-DEC-2003",37617.5,40.1762,-29.2529,24.5284  
"29-DEC-2003",37617.5,40.6637,-29.2529,24.3919  
"29-DEC-2003",37617.5,41.1509,-29.2529,24.3223  
"29-DEC-2003",37617.5,41.6379,-29.2529,24.2548  
"29-DEC-2003",37617.5,42.1248,-29.2529,24.1427  
"29-DEC-2003",37617.5,42.6114,-29.2529,23.9788  
"29-DEC-2003",37617.5,43.0979,-29.2529,23.8925  
"29-DEC-2003",37617.5,43.5842,-29.2529,23.8914  
"29-DEC-2003",37617.5,44.0704,-29.2529,23.9773  
"29-DEC-2003",37617.5,44.5564,-29.2529,24.1181  
"29-DEC-2003",37617.5,45.0422,-29.2529,24.1425  
"29-DEC-2003",37617.5,45.5279,-29.2529,24.1239  
"29-DEC-2003",37617.5,46.0134,-29.2529,24.087  
"29-DEC-2003",37617.5,46.4987,-29.2529,24.0382  
"29-DEC-2003",37617.5,46.9839,-29.2529,24.0185  
"29-DEC-2003",37617.5,47.469,-29.2529,24.0132  
"29-DEC-2003",37617.5,47.9539,-29.2529,24.0067  
"29-DEC-2003",37617.5,48.4386,-29.2529,24.0802  
"29-DEC-2003",37617.5,48.9233,-29.2529,24.2393  
"29-DEC-2003",37617.5,49.4077,-29.2529,24.3727  
"29-DEC-2003",37617.5,49.8921,-29.2529,24.4913  
"29-DEC-2003",37617.5,50.3763,-29.2529,24.6406  
"29-DEC-2003",37617.5,50.8604,-29.2529,24.8278  
"29-DEC-2003",37617.5,51.3444,-29.2529,25.011  
"29-DEC-2003",37617.5,51.8282,-29.2529,25.1345  
"29-DEC-2003",37617.5,52.312,-29.2529,25.2124  
"29-DEC-2003",37617.5,52.7956,-29.2529,25.2503  
"29-DEC-2003",37617.5,53.2791,-29.2529,25.2728  
"29-DEC-2003",37617.5,53.7625,-29.2529,25.2503  
"29-DEC-2003",37617.5,54.2457,-29.2529,25.1493  
"29-DEC-2003",37617.5,54.7289,-29.2529,25.0322  
"29-DEC-2003",37617.5,55.212,-29.2529,24.9342  
"29-DEC-2003",37617.5,55.6949,-29.2529,24.8481  
"29-DEC-2003",37617.5,56.1778,-29.2529,24.7519  
"29-DEC-2003",37617.5,56.6606,-29.2529,24.6478  
"29-DEC-2003",37617.5,57.1432,-29.2529,24.5487  
"29-DEC-2003",37617.5,57.6258,-29.2529,24.494  
"29-DEC-2003",37617.5,58.1083,-29.2529,24.4522  
"29-DEC-2003",37617.5,58.5907,-29.2529,24.3866  
"29-DEC-2003",37617.5,59.073,-29.2529,24.2771  
"29-DEC-2003",37617.5,59.5552,-29.2529,24.1272  
